provider_id,PotentialFraud,category_id
1057172,1,Provider
1052145,0,Provider
1054683,0,Provider
1054890,0,Provider
1054966,1,Provider
1054986,1,Provider
1055158,0,Provider
1054894,1,Provider
1054927,0,Provider
1054950,1,Provider
1055006,0,Provider
1055036,0,Provider
1055064,0,Provider
1055104,0,Provider
1055215,1,Provider
1056257,1,Provider
1053797,1,Provider
1052890,0,Provider
1052901,0,Provider
1052962,0,Provider
1053269,1,Provider
1051459,1,Provider
1051743,0,Provider
1057317,1,Provider
1057333,0,Provider
1054847,0,Provider
1054875,1,Provider
1056405,0,Provider
1056417,0,Provider
1052063,0,Provider
1053100,0,Provider
1055916,0,Provider
1055927,0,Provider
1055969,0,Provider
1056021,0,Provider
1056025,0,Provider
1052133,0,Provider
1052486,0,Provider
1052487,0,Provider
1057316,0,Provider
1055768,0,Provider
1055455,0,Provider
1055659,1,Provider
1052090,0,Provider
1052837,0,Provider
1052844,0,Provider
1051539,1,Provider
1051574,1,Provider
1051695,0,Provider
1055832,0,Provider
1056740,0,Provider
1055503,0,Provider
1055552,0,Provider
1051369,1,Provider
1051433,1,Provider
1051523,0,Provider
1051749,0,Provider
1053256,0,Provider
1055163,1,Provider
1055209,1,Provider
1055237,0,Provider
1055323,0,Provider
1055368,0,Provider
1055388,0,Provider
1056238,0,Provider
1054071,0,Provider
1054075,1,Provider
1052055,0,Provider
1052114,1,Provider
1053794,0,Provider
1053911,1,Provider
1054745,0,Provider
1054939,1,Provider
1054985,0,Provider
1055446,0,Provider
1051017,0,Provider
1054238,0,Provider
1054261,0,Provider
1054297,1,Provider
1054320,0,Provider
1051140,0,Provider
1051154,0,Provider
1051196,0,Provider
1053618,0,Provider
1053923,1,Provider
1054333,1,Provider
1052945,0,Provider
1052032,1,Provider
1053634,0,Provider
1053774,0,Provider
1056608,1,Provider
1056642,0,Provider
1057014,0,Provider
1055004,1,Provider
1055088,0,Provider
1051510,0,Provider
1051636,0,Provider
1056556,0,Provider
1056733,0,Provider
1057082,0,Provider
1052064,1,Provider
1053623,1,Provider
1053649,0,Provider
1053662,0,Provider
1052019,1,Provider
1053706,1,Provider
1055000,0,Provider
1053958,0,Provider
1055262,0,Provider
1056270,0,Provider
1057173,1,Provider
1057429,0,Provider
1054837,1,Provider
1054854,0,Provider
1052049,0,Provider
1052147,1,Provider
1052170,0,Provider
1052260,0,Provider
1052386,0,Provider
1053692,1,Provider
1052098,0,Provider
1055169,0,Provider
1056268,1,Provider
1051159,1,Provider
1052501,0,Provider
1052503,0,Provider
1052520,0,Provider
1055489,0,Provider
1055505,0,Provider
1055548,0,Provider
1055667,1,Provider
1051244,1,Provider
1051279,0,Provider
1051281,0,Provider
1051293,0,Provider
1055821,1,Provider
1055834,0,Provider
1055835,1,Provider
1057303,0,Provider
1057314,0,Provider
1057315,0,Provider
1056559,0,Provider
1051948,1,Provider
1054688,1,Provider
1051988,0,Provider
1052001,0,Provider
1052986,0,Provider
1053074,0,Provider
1051360,0,Provider
1051593,1,Provider
1052649,1,Provider
1052652,1,Provider
1055049,1,Provider
1052307,1,Provider
1056501,1,Provider
1051567,1,Provider
1052518,0,Provider
1054668,0,Provider
1054949,0,Provider
1055226,0,Provider
1055483,1,Provider
1052985,1,Provider
1056562,0,Provider
1055752,0,Provider
1056225,1,Provider
1052066,1,Provider
1051125,0,Provider
1051129,0,Provider
1051176,0,Provider
1052511,1,Provider
1057345,1,Provider
1052573,0,Provider
1055521,0,Provider
1051934,0,Provider
1052074,0,Provider
1054896,1,Provider
1054908,0,Provider
1054918,1,Provider
1055892,0,Provider
1055990,0,Provider
1056033,0,Provider
1052572,0,Provider
1052576,0,Provider
1052634,0,Provider
1052648,1,Provider
1052723,0,Provider
1053000,0,Provider
1057530,0,Provider
1053932,0,Provider
1054741,0,Provider
1054743,1,Provider
1054885,0,Provider
1056350,1,Provider
1056360,0,Provider
1056379,0,Provider
1052041,1,Provider
1055898,0,Provider
1057213,0,Provider
1053244,0,Provider
1053295,1,Provider
1053304,0,Provider
1053320,0,Provider
1052308,1,Provider
1052312,0,Provider
1052341,0,Provider
1056011,1,Provider
1055227,0,Provider
1054345,0,Provider
1051428,0,Provider
1051606,0,Provider
1051838,0,Provider
1053679,0,Provider
1053698,0,Provider
1057672,1,Provider
1057677,0,Provider
1054092,0,Provider
1057527,1,Provider
1057528,1,Provider
1057545,0,Provider
1052441,0,Provider
1056508,0,Provider
1057691,0,Provider
1051153,0,Provider
1051871,0,Provider
1051873,1,Provider
1052085,0,Provider
1054888,0,Provider
1056560,1,Provider
1056985,0,Provider
1055185,0,Provider
1054840,0,Provider
1056580,0,Provider
1056637,0,Provider
1056957,0,Provider
1057697,1,Provider
1056745,0,Provider
1051466,0,Provider
1054748,0,Provider
1051731,0,Provider
1051499,0,Provider
1051856,0,Provider
1055820,0,Provider
1057103,1,Provider
1054778,1,Provider
1052313,0,Provider
1052405,0,Provider
1051286,0,Provider
1055755,0,Provider
1054330,0,Provider
1054378,0,Provider
1054381,0,Provider
1051266,0,Provider
1051299,0,Provider
1053438,0,Provider
1055913,1,Provider
1056832,0,Provider
1056901,0,Provider
1052738,0,Provider
1054367,1,Provider
1051064,1,Provider
1054765,1,Provider
1054772,1,Provider
1055977,1,Provider
1052072,0,Provider
1053624,0,Provider
1053685,0,Provider
1051164,0,Provider
1051346,0,Provider
1052636,0,Provider
1055736,0,Provider
1056598,0,Provider
1056803,0,Provider
1057098,0,Provider
1051004,0,Provider
1052037,0,Provider
1052089,1,Provider
1052095,0,Provider
1052236,0,Provider
1052246,0,Provider
1051479,0,Provider
1055831,0,Provider
1055839,0,Provider
1055875,0,Provider
1051521,0,Provider
1051788,0,Provider
1051550,0,Provider
1055981,0,Provider
1056010,0,Provider
1051386,0,Provider
1051857,1,Provider
1051868,1,Provider
1054070,1,Provider
1054514,1,Provider
1056796,0,Provider
1053258,0,Provider
1055929,0,Provider
1055165,1,Provider
1055207,0,Provider
1055278,0,Provider
1055319,0,Provider
1055943,0,Provider
1055972,0,Provider
1055196,0,Provider
1056235,0,Provider
1051151,0,Provider
1052859,0,Provider
1052941,0,Provider
1052180,0,Provider
1053762,1,Provider
1053940,0,Provider
1052829,0,Provider
1052842,0,Provider
1052870,1,Provider
1052893,0,Provider
1052298,0,Provider
1052439,0,Provider
1052337,1,Provider
1051037,1,Provider
1053002,0,Provider
1053005,1,Provider
1056347,0,Provider
1056362,0,Provider
1056367,0,Provider
1053608,0,Provider
1055043,0,Provider
1052568,0,Provider
1052623,0,Provider
1052677,0,Provider
1052702,0,Provider
1054340,0,Provider
1053689,0,Provider
1053937,1,Provider
1055896,1,Provider
1055933,0,Provider
1056006,0,Provider
1057179,1,Provider
1057407,0,Provider
1057412,0,Provider
1057434,0,Provider
1057485,0,Provider
1054341,0,Provider
1054350,1,Provider
1055836,0,Provider
1054959,0,Provider
1056743,0,Provider
1056808,1,Provider
1057710,0,Provider
1051421,1,Provider
1053394,0,Provider
1053405,0,Provider
1055920,0,Provider
1055993,0,Provider
1053874,0,Provider
1053918,1,Provider
1057732,0,Provider
1054813,0,Provider
1057160,0,Provider
1056439,0,Provider
1051086,0,Provider
1052309,0,Provider
1056707,0,Provider
1056410,0,Provider
1056466,0,Provider
1054911,0,Provider
1054937,0,Provider
1055515,0,Provider
1053939,0,Provider
1053997,0,Provider
1055220,0,Provider
1055254,0,Provider
1054564,0,Provider
1054577,0,Provider
1055439,0,Provider
1055459,0,Provider
1055462,1,Provider
1055492,1,Provider
1055414,0,Provider
1051265,0,Provider
1051271,0,Provider
1051301,0,Provider
1051860,0,Provider
1056231,1,Provider
1056248,0,Provider
1052565,0,Provider
1052646,0,Provider
1052571,0,Provider
1052628,1,Provider
1052631,0,Provider
1052599,0,Provider
1052369,0,Provider
1052399,0,Provider
1052402,0,Provider
1053277,1,Provider
1052821,1,Provider
1052824,0,Provider
1052836,0,Provider
1052897,0,Provider
1052902,0,Provider
1052905,0,Provider
1052924,0,Provider
1052930,0,Provider
1052933,1,Provider
1054074,1,Provider
1054101,0,Provider
1054742,1,Provider
1054960,0,Provider
1051021,1,Provider
1051068,0,Provider
1055819,0,Provider
1057339,0,Provider
1054267,0,Provider
1054325,0,Provider
1051874,0,Provider
1053396,0,Provider
1056575,1,Provider
1056760,0,Provider
1057033,0,Provider
1053385,1,Provider
1056117,0,Provider
1052120,1,Provider
1055912,1,Provider
1052123,1,Provider
1055966,0,Provider
1056002,0,Provider
1056104,1,Provider
1052092,0,Provider
1052109,0,Provider
1057515,0,Provider
1057522,0,Provider
1057572,0,Provider
1057624,0,Provider
1054919,0,Provider
1055051,0,Provider
1052559,0,Provider
1052869,0,Provider
1052896,0,Provider
1052056,0,Provider
1056020,0,Provider
1053973,0,Provider
1051471,1,Provider
1051507,1,Provider
1051509,0,Provider
1051617,0,Provider
1055247,0,Provider
1054562,0,Provider
1054565,0,Provider
1051156,0,Provider
1051204,0,Provider
1054831,0,Provider
1052229,0,Provider
1052233,0,Provider
1052030,1,Provider
1052077,1,Provider
1052084,0,Provider
1054372,1,Provider
1054374,0,Provider
1055911,1,Provider
1055959,1,Provider
1051480,1,Provider
1053710,0,Provider
1056014,0,Provider
1052299,0,Provider
1052334,0,Provider
1052389,0,Provider
