insurer_license_plate,n_claims,fraud_rate
PLT100004,1,0.0
PLT100019,2,0.0
PLT100022,1,0.0
PLT100023,1,0.0
PLT100039,1,1.0
PLT100040,1,0.0
PLT100045,1,0.0
PLT100048,1,1.0
PLT100053,1,0.0
PLT100058,1,0.0
PLT100062,1,0.0
PLT100068,12,0.0
PLT100076,2,0.0
PLT100077,9,0.1111111111111111
PLT100086,1,0.0
PLT100090,7,0.2857142857142857
PLT100092,13,0.23076923076923078
PLT100100,1,0.0
PLT100101,1,0.0
PLT100102,2,0.0
PLT100111,1,0.0
PLT100113,1,1.0
PLT100124,1,0.0
PLT100133,1,0.0
PLT100134,2,0.0
PLT100135,1,0.0
PLT100143,8,0.125
PLT100146,11,0.18181818181818182
PLT100150,1,0.0
PLT100160,1,0.0
PLT100163,1,0.0
PLT100167,7,0.42857142857142855
PLT100170,1,0.0
PLT100171,1,0.0
PLT100173,1,0.0
PLT100174,8,0.125
PLT100183,1,0.0
PLT100184,1,0.0
PLT100192,10,0.1
PLT100193,1,0.0
PLT100196,1,0.0
PLT100204,1,0.0
PLT100215,1,0.0
PLT100217,1,0.0
PLT100234,1,0.0
PLT100235,1,1.0
PLT100243,1,0.0
PLT100248,11,0.0
PLT100260,1,0.0
PLT100277,1,0.0
PLT100279,1,0.0
PLT100280,1,0.0
PLT100281,5,0.4
PLT100283,2,0.0
PLT100284,1,0.0
PLT100289,1,0.0
PLT100296,1,0.0
PLT100304,1,0.0
PLT100310,1,0.0
PLT100314,8,0.125
PLT100322,8,0.0
PLT100323,1,1.0
PLT100332,1,0.0
PLT100339,1,0.0
PLT100343,1,0.0
PLT100346,1,0.0
PLT100355,1,0.0
PLT100356,1,0.0
PLT100361,10,0.2
PLT100366,1,0.0
PLT100367,9,0.0
PLT100372,4,0.25
PLT100376,1,0.0
PLT100384,7,0.2857142857142857
PLT100386,1,0.0
PLT100388,1,0.0
PLT100389,1,1.0
PLT100390,1,0.0
PLT100392,9,0.1111111111111111
PLT100400,9,0.0
PLT100411,1,0.0
PLT100416,2,0.0
PLT100421,1,0.0
PLT100423,15,0.06666666666666667
PLT100425,7,0.42857142857142855
PLT100428,6,0.0
PLT100433,8,0.0
PLT100435,2,0.0
PLT100448,1,0.0
PLT100449,1,0.0
PLT100454,1,0.0
PLT100468,1,0.0
PLT100470,11,0.0
PLT100473,1,0.0
PLT100486,9,0.2222222222222222
PLT100488,1,0.0
PLT100489,1,1.0
PLT100491,1,0.0
PLT100505,1,1.0
PLT100506,1,0.0
PLT100507,1,0.0
PLT100508,1,0.0
PLT100513,1,0.0
PLT100522,1,1.0
PLT100526,1,1.0
PLT100527,1,0.0
PLT100529,11,0.09090909090909091
PLT100534,1,0.0
PLT100547,1,0.0
PLT100551,1,0.0
PLT100552,1,1.0
PLT100555,10,0.3
PLT100556,1,0.0
PLT100561,1,0.0
PLT100568,1,0.0
PLT100577,1,0.0
PLT100582,1,0.0
PLT100592,1,0.0
PLT100607,1,0.0
PLT100614,1,0.0
PLT100618,2,0.0
PLT100623,10,0.3
PLT100624,1,0.0
PLT100627,1,0.0
PLT100630,1,0.0
PLT100632,1,0.0
PLT100638,15,0.06666666666666667
PLT100641,10,0.2
PLT100644,2,0.0
PLT100652,3,0.3333333333333333
PLT100653,1,0.0
PLT100658,1,0.0
PLT100661,1,0.0
PLT100662,1,0.0
PLT100665,1,0.0
PLT100667,5,0.4
PLT100671,2,0.0
PLT100673,1,0.0
PLT100675,1,0.0
PLT100681,1,1.0
PLT100684,1,0.0
PLT100686,1,0.0
PLT100687,2,0.0
PLT100694,1,0.0
PLT100703,1,0.0
PLT100705,1,0.0
PLT100713,1,0.0
PLT100714,1,0.0
PLT100720,1,0.0
PLT100722,1,0.0
PLT100724,1,0.0
PLT100735,1,0.0
PLT100742,9,0.2222222222222222
PLT100745,1,0.0
PLT100757,1,0.0
PLT100759,1,0.0
PLT100767,1,0.0
PLT100773,13,0.07692307692307693
PLT100783,9,0.0
PLT100785,1,0.0
PLT100786,2,0.0
PLT100787,1,0.0
PLT100789,1,0.0
PLT100793,1,0.0
PLT100796,1,1.0
PLT100797,2,0.0
PLT100805,1,1.0
PLT100808,1,0.0
PLT100810,1,0.0
PLT100812,2,0.0
PLT100815,1,0.0
PLT100820,1,0.0
PLT100821,1,0.0
PLT100825,1,0.0
PLT100828,10,0.2
PLT100829,2,0.0
PLT100832,1,1.0
PLT100837,1,0.0
PLT100842,1,0.0
PLT100846,1,0.0
PLT100847,1,0.0
PLT100860,1,0.0
PLT100867,1,0.0
PLT100869,1,0.0
PLT100885,1,0.0
PLT100886,1,0.0
PLT100899,1,1.0
PLT100901,2,0.5
PLT100904,1,0.0
PLT100905,1,0.0
PLT100906,1,0.0
PLT100910,7,0.14285714285714285
PLT100923,1,0.0
PLT100924,1,0.0
PLT100926,13,0.3076923076923077
PLT100928,6,0.6666666666666666
PLT100930,2,0.0
PLT100934,1,0.0
PLT100944,1,0.0
PLT100960,7,0.14285714285714285
PLT100975,4,0.0
PLT100980,2,0.0
PLT100986,13,0.0
PLT100994,2,0.0
PLT100995,1,0.0
PLT100996,1,0.0
PLT100998,12,0.08333333333333333
PLT101005,12,0.08333333333333333
PLT101006,1,0.0
PLT101009,1,0.0
PLT101012,11,0.0
PLT101017,1,0.0
PLT101020,1,0.0
PLT101023,13,0.07692307692307693
PLT101066,5,0.4
PLT101067,2,0.0
PLT101069,12,0.08333333333333333
PLT101073,1,0.0
PLT101083,12,0.3333333333333333
PLT101093,1,0.0
PLT101097,1,0.0
PLT101111,1,0.0
PLT101114,1,0.0
PLT101116,1,0.0
PLT101117,1,0.0
PLT101121,1,0.0
PLT101126,1,0.0
PLT101140,1,0.0
PLT101144,9,0.0
PLT101146,7,0.0
PLT101160,1,1.0
PLT101166,5,0.0
PLT101168,7,0.5714285714285714
PLT101169,1,0.0
PLT101173,4,0.0
PLT101174,13,0.0
PLT101178,10,0.0
PLT101182,3,0.0
PLT101186,1,0.0
PLT101187,1,0.0
PLT101188,1,0.0
PLT101190,1,0.0
PLT101191,3,0.0
PLT101195,1,0.0
PLT101206,7,0.0
PLT101207,1,0.0
PLT101215,1,0.0
PLT101217,9,0.1111111111111111
