repair_shop,n_claims,fraud_rate
SHOP_0,5,0.0
SHOP_1,1,0.0
SHOP_10,5,0.0
SHOP_100,1,0.0
SHOP_101,4,0.0
SHOP_102,2,0.0
SHOP_103,1,0.0
SHOP_104,3,0.0
SHOP_105,4,0.0
SHOP_106,3,0.0
SHOP_107,5,0.2
SHOP_109,1,0.0
SHOP_11,5,0.0
SHOP_110,3,0.0
SHOP_111,3,0.0
SHOP_112,1,0.0
SHOP_113,3,0.0
SHOP_114,4,0.0
SHOP_115,3,0.3333333333333333
SHOP_117,21,0.2857142857142857
SHOP_118,4,0.0
SHOP_12,4,0.0
SHOP_120,7,0.0
SHOP_121,10,0.1
SHOP_122,7,0.0
SHOP_123,7,0.0
SHOP_124,4,0.25
SHOP_125,4,0.0
SHOP_126,17,0.11764705882352941
SHOP_127,3,0.0
SHOP_129,2,0.0
SHOP_13,5,0.2
SHOP_130,3,0.0
SHOP_131,3,0.3333333333333333
SHOP_132,4,0.25
SHOP_133,7,0.14285714285714285
SHOP_134,1,0.0
SHOP_135,5,0.0
SHOP_136,2,0.0
SHOP_137,7,0.0
SHOP_138,6,0.0
SHOP_139,19,0.3684210526315789
SHOP_14,6,0.0
SHOP_140,2,0.0
SHOP_141,6,0.0
SHOP_142,2,0.0
SHOP_144,4,0.0
SHOP_145,4,0.25
SHOP_146,3,0.3333333333333333
SHOP_147,18,0.4444444444444444
SHOP_148,1,0.0
SHOP_149,6,0.0
SHOP_15,5,0.0
SHOP_150,5,0.0
SHOP_151,5,0.0
SHOP_152,3,0.0
SHOP_153,3,0.0
SHOP_154,4,0.0
SHOP_155,17,0.4117647058823529
SHOP_156,2,0.0
SHOP_157,19,0.3157894736842105
SHOP_158,2,0.0
SHOP_159,2,0.0
SHOP_16,1,0.0
SHOP_160,3,0.0
SHOP_161,6,0.16666666666666666
SHOP_162,5,0.0
SHOP_163,2,0.0
SHOP_164,2,0.0
SHOP_165,5,0.0
SHOP_166,3,0.0
SHOP_167,1,0.0
SHOP_168,18,0.3333333333333333
SHOP_169,3,0.0
SHOP_17,3,0.0
SHOP_170,3,0.0
SHOP_171,3,0.0
SHOP_172,3,0.0
SHOP_173,5,0.2
SHOP_174,4,0.0
SHOP_175,2,0.0
SHOP_176,5,0.0
SHOP_177,4,0.0
SHOP_178,5,0.0
SHOP_179,3,0.0
SHOP_18,1,0.0
SHOP_180,5,0.0
SHOP_181,3,0.0
SHOP_182,2,0.0
SHOP_183,9,0.0
SHOP_184,18,0.2222222222222222
SHOP_185,16,0.3125
SHOP_186,5,0.0
SHOP_187,6,0.0
SHOP_188,6,0.16666666666666666
SHOP_189,1,0.0
SHOP_19,3,0.0
SHOP_190,3,0.0
SHOP_191,1,0.0
SHOP_192,7,0.0
SHOP_193,6,0.0
SHOP_194,5,0.2
SHOP_195,3,0.0
SHOP_196,2,0.0
SHOP_197,1,0.0
SHOP_198,5,0.0
SHOP_199,6,0.0
SHOP_2,4,0.0
SHOP_20,1,1.0
SHOP_200,3,0.0
SHOP_201,5,0.0
SHOP_202,5,0.2
SHOP_203,3,0.0
SHOP_204,3,0.0
SHOP_205,4,0.0
SHOP_206,5,0.0
SHOP_207,5,0.2
SHOP_208,2,0.0
SHOP_209,4,0.0
SHOP_210,4,0.0
SHOP_211,18,0.16666666666666666
SHOP_212,4,0.0
SHOP_213,4,0.0
SHOP_214,1,0.0
SHOP_215,4,0.25
SHOP_216,3,0.3333333333333333
SHOP_217,2,0.5
SHOP_218,7,0.0
SHOP_219,2,0.0
SHOP_22,4,0.0
SHOP_220,6,0.16666666666666666
SHOP_221,10,0.0
SHOP_222,4,0.25
SHOP_223,5,0.0
SHOP_224,6,0.0
SHOP_225,5,0.0
SHOP_226,6,0.0
SHOP_227,2,0.0
SHOP_228,1,0.0
SHOP_229,1,0.0
SHOP_23,3,0.0
SHOP_230,6,0.0
SHOP_231,4,0.0
SHOP_232,3,0.0
SHOP_233,3,0.0
SHOP_234,7,0.0
SHOP_235,2,0.5
SHOP_236,4,0.0
SHOP_237,2,0.0
SHOP_238,13,0.15384615384615385
SHOP_239,3,0.3333333333333333
SHOP_24,3,0.0
SHOP_240,1,0.0
SHOP_241,5,0.0
SHOP_242,5,0.2
SHOP_243,4,0.0
SHOP_244,1,0.0
SHOP_245,3,0.0
SHOP_246,1,0.0
SHOP_247,2,0.0
SHOP_248,4,0.0
SHOP_249,2,0.0
SHOP_25,3,0.0
SHOP_251,3,0.0
SHOP_252,4,0.0
SHOP_253,2,0.0
SHOP_254,6,0.0
SHOP_255,5,0.0
SHOP_256,2,0.0
SHOP_257,5,0.0
SHOP_258,5,0.0
SHOP_259,13,0.38461538461538464
SHOP_26,2,0.0
SHOP_260,3,0.3333333333333333
SHOP_261,2,0.0
SHOP_262,4,0.0
SHOP_263,2,0.0
SHOP_264,2,0.0
SHOP_265,8,0.125
SHOP_266,2,0.0
SHOP_267,7,0.14285714285714285
SHOP_268,4,0.0
SHOP_269,3,0.0
SHOP_27,5,0.2
SHOP_270,1,0.0
SHOP_271,3,0.0
SHOP_272,3,0.0
SHOP_273,6,0.0
SHOP_274,1,0.0
SHOP_275,3,0.3333333333333333
SHOP_276,7,0.14285714285714285
SHOP_277,2,0.0
SHOP_278,3,0.0
SHOP_279,6,0.0
SHOP_28,5,0.0
SHOP_280,3,0.0
SHOP_281,5,0.0
SHOP_282,4,0.25
SHOP_283,8,0.0
SHOP_284,4,0.0
SHOP_285,4,0.0
SHOP_286,4,0.0
SHOP_287,16,0.375
SHOP_288,5,0.0
SHOP_289,4,0.0
SHOP_29,2,0.0
SHOP_290,2,0.0
SHOP_292,4,0.0
SHOP_293,7,0.0
SHOP_294,5,0.0
SHOP_295,2,0.0
SHOP_296,3,0.0
SHOP_297,1,0.0
SHOP_298,1,0.0
SHOP_299,3,0.0
SHOP_3,4,0.0
SHOP_30,1,0.0
SHOP_300,4,0.0
SHOP_301,6,0.0
SHOP_302,2,0.0
SHOP_303,4,0.0
SHOP_304,4,0.0
SHOP_305,5,0.0
SHOP_306,6,0.0
SHOP_307,4,0.5
SHOP_308,24,0.2916666666666667
SHOP_309,2,0.0
SHOP_31,5,0.0
SHOP_310,7,0.0
SHOP_312,3,0.0
SHOP_313,6,0.16666666666666666
SHOP_314,15,0.13333333333333333
SHOP_315,2,0.0
SHOP_316,4,0.0
SHOP_317,2,0.0
SHOP_318,2,0.0
SHOP_319,4,0.0
SHOP_32,4,0.25
SHOP_320,5,0.0
SHOP_321,4,0.0
SHOP_322,14,0.35714285714285715
SHOP_323,3,0.0
SHOP_324,2,0.0
SHOP_326,2,0.5
SHOP_327,3,0.0
SHOP_328,3,0.0
SHOP_329,2,0.0
SHOP_33,4,0.0
SHOP_330,1,0.0
SHOP_331,4,0.0
SHOP_332,4,0.0
SHOP_333,8,0.125
SHOP_334,18,0.3333333333333333
SHOP_336,5,0.0
SHOP_337,3,0.0
SHOP_338,4,0.0
SHOP_339,7,0.0
SHOP_34,5,0.0
SHOP_340,5,0.0
SHOP_341,20,0.2
SHOP_342,4,0.25
SHOP_343,5,0.0
SHOP_344,3,0.0
SHOP_345,3,0.0
SHOP_346,21,0.19047619047619047
SHOP_347,1,0.0
SHOP_349,5,0.0
SHOP_35,2,0.0
SHOP_350,3,0.0
SHOP_351,4,0.25
SHOP_352,3,0.0
SHOP_353,20,0.3
SHOP_354,6,0.16666666666666666
SHOP_355,4,0.0
SHOP_356,1,0.0
SHOP_357,3,0.0
SHOP_358,10,0.3
SHOP_359,4,0.0
SHOP_36,3,0.0
SHOP_360,5,0.0
SHOP_361,2,0.0
SHOP_362,2,0.0
SHOP_363,4,0.0
SHOP_364,6,0.16666666666666666
SHOP_365,3,0.0
SHOP_366,5,0.0
SHOP_367,3,0.3333333333333333
SHOP_368,4,0.0
SHOP_369,2,0.0
SHOP_37,7,0.0
SHOP_370,1,0.0
SHOP_371,1,0.0
SHOP_372,1,0.0
SHOP_373,19,0.2631578947368421
SHOP_374,3,0.0
SHOP_375,4,0.0
SHOP_376,2,0.0
SHOP_377,3,0.0
SHOP_378,5,0.0
SHOP_379,6,0.0
SHOP_38,2,0.0
SHOP_380,2,0.0
SHOP_381,3,0.0
SHOP_382,5,0.0
SHOP_383,3,0.0
SHOP_384,5,0.0
SHOP_385,10,0.0
SHOP_386,3,0.0
SHOP_387,4,0.0
SHOP_388,4,0.25
SHOP_389,5,0.2
SHOP_39,1,0.0
SHOP_390,3,0.0
SHOP_391,12,0.25
SHOP_392,4,0.0
SHOP_393,2,0.0
SHOP_394,4,0.0
SHOP_396,13,0.23076923076923078
SHOP_397,5,0.0
SHOP_398,3,0.0
SHOP_399,4,0.25
SHOP_4,2,0.0
SHOP_40,5,0.0
SHOP_400,3,0.0
SHOP_401,1,1.0
SHOP_402,1,1.0
SHOP_403,2,0.0
SHOP_404,4,0.0
SHOP_405,6,0.0
SHOP_406,9,0.0
SHOP_407,8,0.125
SHOP_408,1,0.0
SHOP_409,4,0.0
SHOP_41,13,0.07692307692307693
SHOP_410,4,0.0
SHOP_411,3,0.0
SHOP_412,13,0.15384615384615385
SHOP_413,2,0.0
SHOP_414,14,0.42857142857142855
SHOP_415,2,0.0
SHOP_416,3,0.0
SHOP_418,1,0.0
SHOP_419,18,0.4444444444444444
SHOP_42,3,0.0
SHOP_420,4,0.0
SHOP_421,2,0.0
SHOP_422,16,0.375
SHOP_423,4,0.25
SHOP_424,5,0.0
SHOP_425,3,0.0
SHOP_426,8,0.0
SHOP_427,4,0.0
SHOP_428,9,0.1111111111111111
SHOP_429,9,0.6666666666666666
SHOP_43,1,0.0
SHOP_430,1,0.0
SHOP_431,14,0.35714285714285715
SHOP_432,3,0.0
SHOP_433,3,0.0
SHOP_434,2,0.0
SHOP_435,3,0.0
SHOP_436,3,0.0
SHOP_437,5,0.0
SHOP_438,5,0.0
SHOP_439,3,0.3333333333333333
SHOP_44,3,0.0
SHOP_440,1,0.0
SHOP_441,4,0.0
SHOP_443,3,0.0
SHOP_444,2,0.0
SHOP_445,14,0.2857142857142857
SHOP_446,3,0.0
SHOP_447,4,0.0
SHOP_448,3,0.0
SHOP_449,4,0.25
SHOP_45,4,0.25
SHOP_450,12,0.08333333333333333
SHOP_451,3,0.0
SHOP_452,4,0.0
SHOP_453,2,0.0
SHOP_454,3,0.3333333333333333
SHOP_455,22,0.36363636363636365
SHOP_456,3,0.0
SHOP_458,1,0.0
SHOP_459,1,0.0
SHOP_46,4,0.0
SHOP_460,23,0.30434782608695654
SHOP_461,5,0.0
SHOP_462,2,0.0
SHOP_463,2,0.0
SHOP_464,18,0.2777777777777778
SHOP_465,1,0.0
SHOP_466,4,0.0
SHOP_467,3,0.0
SHOP_469,1,0.0
SHOP_47,2,0.0
SHOP_470,24,0.2916666666666667
SHOP_471,1,0.0
SHOP_472,2,0.0
SHOP_473,3,0.0
SHOP_474,6,0.0
SHOP_475,21,0.38095238095238093
SHOP_476,5,0.0
SHOP_477,5,0.0
SHOP_478,4,0.25
SHOP_479,15,0.26666666666666666
SHOP_48,3,0.0
SHOP_480,2,0.0
SHOP_481,6,0.0
SHOP_482,6,0.0
SHOP_483,1,0.0
SHOP_484,4,0.0
SHOP_485,4,0.25
SHOP_486,4,0.0
SHOP_487,5,0.0
SHOP_488,3,0.3333333333333333
SHOP_489,6,0.0
SHOP_49,3,0.3333333333333333
SHOP_490,3,0.0
SHOP_491,5,0.0
SHOP_492,2,0.0
SHOP_493,3,0.0
SHOP_494,7,0.0
SHOP_495,2,0.0
SHOP_496,3,0.0
SHOP_497,1,0.0
SHOP_498,4,0.0
SHOP_499,2,0.0
SHOP_5,3,0.3333333333333333
SHOP_50,2,0.5
SHOP_500,1,0.0
SHOP_501,2,0.0
SHOP_502,2,0.0
SHOP_503,3,0.0
SHOP_504,1,0.0
SHOP_505,5,0.0
SHOP_506,23,0.391304347826087
SHOP_507,5,0.0
SHOP_508,5,0.2
SHOP_509,4,0.0
SHOP_51,3,0.0
SHOP_510,6,0.0
SHOP_511,1,0.0
SHOP_512,1,0.0
SHOP_513,5,0.0
SHOP_514,4,0.25
SHOP_515,2,0.0
SHOP_516,1,0.0
SHOP_517,18,0.2777777777777778
SHOP_518,3,0.0
SHOP_519,4,0.0
SHOP_52,1,1.0
SHOP_520,2,0.0
SHOP_521,4,0.0
SHOP_522,3,0.0
SHOP_523,22,0.09090909090909091
SHOP_524,3,0.0
SHOP_525,4,0.0
SHOP_526,2,0.5
SHOP_527,6,0.16666666666666666
SHOP_528,3,0.0
SHOP_529,6,0.0
SHOP_53,6,0.16666666666666666
SHOP_530,6,0.0
SHOP_531,13,0.0
SHOP_533,6,0.0
SHOP_534,3,0.0
SHOP_535,3,0.0
SHOP_536,2,0.0
SHOP_537,3,0.0
SHOP_538,5,0.0
SHOP_539,4,0.0
SHOP_54,1,0.0
SHOP_540,2,0.0
SHOP_541,2,0.0
SHOP_542,7,0.0
SHOP_543,4,0.0
SHOP_544,5,0.2
SHOP_545,2,0.0
SHOP_546,4,0.0
SHOP_547,4,0.0
SHOP_548,4,0.0
SHOP_549,2,0.5
SHOP_55,4,0.0
SHOP_550,3,0.0
SHOP_551,4,0.5
SHOP_552,16,0.3125
SHOP_553,5,0.0
SHOP_554,5,0.0
SHOP_555,6,0.0
SHOP_556,2,0.0
SHOP_557,1,0.0
SHOP_558,1,0.0
SHOP_559,5,0.0
SHOP_56,6,0.0
SHOP_561,3,0.3333333333333333
SHOP_562,3,0.0
SHOP_563,3,0.0
SHOP_565,2,0.0
SHOP_566,5,0.0
SHOP_567,6,0.0
SHOP_568,4,0.0
SHOP_569,4,0.0
SHOP_57,3,0.0
SHOP_570,4,0.0
SHOP_571,3,0.0
SHOP_572,5,0.2
SHOP_573,7,0.2857142857142857
SHOP_574,1,0.0
SHOP_575,5,0.0
SHOP_576,2,0.0
SHOP_577,3,0.3333333333333333
SHOP_578,1,0.0
SHOP_579,5,0.0
SHOP_58,2,0.0
SHOP_580,3,0.3333333333333333
SHOP_581,5,0.0
SHOP_582,3,0.0
SHOP_583,2,0.0
SHOP_584,6,0.0
SHOP_585,2,0.0
SHOP_586,4,0.0
SHOP_587,3,0.0
SHOP_588,1,0.0
SHOP_589,1,0.0
SHOP_59,15,0.4666666666666667
SHOP_590,5,0.0
SHOP_591,14,0.21428571428571427
SHOP_592,3,0.0
SHOP_593,15,0.26666666666666666
SHOP_594,5,0.0
SHOP_595,7,0.0
SHOP_596,16,0.4375
SHOP_597,1,0.0
SHOP_598,3,0.0
SHOP_599,2,0.0
SHOP_6,4,0.0
SHOP_60,4,0.0
SHOP_600,2,0.0
SHOP_601,4,0.0
SHOP_602,4,0.0
SHOP_603,3,0.0
SHOP_604,4,0.0
SHOP_605,4,0.0
SHOP_606,2,0.0
SHOP_607,2,0.0
SHOP_608,1,0.0
SHOP_609,2,0.0
SHOP_61,2,0.0
SHOP_611,2,0.0
SHOP_612,5,0.0
SHOP_613,3,0.0
SHOP_614,1,0.0
SHOP_615,6,0.0
SHOP_616,2,0.0
SHOP_617,5,0.0
SHOP_618,1,0.0
SHOP_619,2,0.0
