insurer_license_plate,n_claims,fraud_rate,first_seen,last_seen
PLT101435,21,0.047619047619047616,2024-01-03,2024-02-28
PLT102071,18,0.2777777777777778,2024-01-01,2024-02-27
PLT103269,17,0.058823529411764705,2024-01-01,2024-02-15
PLT101926,16,0.1875,2024-01-01,2024-02-26
PLT105250,16,0.1875,2024-01-06,2024-02-29
PLT104141,16,0.3125,2024-01-03,2024-02-14
PLT104007,16,0.1875,2024-01-01,2024-02-27
PLT104066,16,0.0625,2024-01-07,2024-02-27
PLT103620,16,0.125,2024-01-01,2024-02-26
PLT103417,16,0.1875,2024-01-01,2024-02-28
PLT101436,15,0.06666666666666667,2024-01-01,2024-02-14
PLT107247,15,0.06666666666666667,2024-01-01,2024-02-26
PLT106581,15,0.0,2024-01-01,2024-02-25
PLT100423,15,0.06666666666666667,2024-01-01,2024-02-17
PLT104918,15,0.2,2024-01-03,2024-02-22
PLT105652,15,0.06666666666666667,2024-01-04,2024-02-24
PLT100638,15,0.06666666666666667,2024-01-03,2024-02-16
PLT106014,15,0.4,2024-01-01,2024-02-27
PLT107714,15,0.13333333333333333,2024-01-05,2024-02-27
PLT102502,15,0.13333333333333333,2024-01-12,2024-02-28
PLT107184,15,0.2,2024-01-03,2024-02-27
PLT107335,15,0.13333333333333333,2024-01-03,2024-02-23
PLT107557,14,0.14285714285714285,2024-01-03,2024-02-28
PLT107582,14,0.07142857142857142,2024-01-04,2024-02-26
PLT102034,14,0.14285714285714285,2024-01-06,2024-02-16
