label,term,score,freq_cluster,freq_others,cov_cluster,cov_others,kind
cluster_0,along i71,13.507392004068812,36,1,0.1232876712328767,0.001412429378531,NG2
cluster_0,work along i71,12.16766644302864,33,1,0.1130136986301369,0.001412429378531,NG3
cluster_0,911 report,10.852864771902736,17,0,0.0582191780821917,0.0,NG2
cluster_0,called 911 report,10.245217597622824,17,0,0.0582191780821917,0.0,NG3
cluster_0,deer suddenly,10.012915317441422,21,1,0.071917808219178,0.001412429378531,NG2
cluster_0,damage the front,9.827176070484462,43,5,0.1472602739726027,0.0070621468926553,NG3
cluster_0,suddenly darted,9.713941719286646,14,0,0.047945205479452,0.0,NG2
cluster_0,auto body,9.658646250033522,44,7,0.1506849315068493,0.0098870056497175,NG2
cluster_0,damage vehicle,9.650935007382952,29,3,0.0993150684931506,0.0042372881355932,NG2
cluster_0,side the highway,9.524501938982382,15,0,0.0513698630136986,0.0,NG3
cluster_0,avoid hitting,9.432231245020793,19,1,0.0650684931506849,0.001412429378531,NG2
cluster_0,exit for,9.37446800436302,42,7,0.1438356164383561,0.0098870056497175,NG2
cluster_0,darted across,8.811935195162715,17,1,0.0582191780821917,0.001412429378531,NG2
cluster_0,efforts brake,8.811935195162715,17,1,0.0582191780821917,0.001412429378531,NG2
cluster_0,police arrived,8.785805527816516,35,6,0.1198630136986301,0.0084745762711864,NG2
cluster_0,deer suddenly darted,8.742127370793789,13,0,0.0445205479452054,0.0,NG3
cluster_0,i71 ohio,8.741581816207187,21,2,0.071917808219178,0.0028248587570621,NG2
cluster_0,thankfully was,8.562587706941901,24,3,0.0821917808219178,0.0042372881355932,NG2
cluster_0,along i71 ohio,8.509180890630054,18,1,0.0616438356164383,0.001412429378531,NG3
cluster_0,was unharmed,8.414112030873952,11,0,0.0376712328767123,0.0,NG2
cluster_0,was wearing,8.414112030873952,11,0,0.0376712328767123,0.0,NG2
cluster_0,wearing seatbelt,8.414112030873952,11,0,0.0376712328767123,0.0,NG2
cluster_0,smith auto,8.414112030873952,11,0,0.0376712328767123,0.0,NG2
cluster_0,shop where,8.414112030873952,11,0,0.0376712328767123,0.0,NG2
cluster_0,fortunately was,8.414112030873952,11,0,0.0376712328767123,0.0,NG2
cluster_0,body shop abc,8.323829403312077,12,0,0.0410958904109589,0.0,NG3
cluster_0,but car,8.27024048934615,26,4,0.0856164383561643,0.0056497175141242,NG2
cluster_0,work along,8.146331732665972,67,21,0.2294520547945205,0.0296610169491525,NG2
cluster_0,shop abc,8.145361512849142,15,1,0.0513698630136986,0.001412429378531,NG2
cluster_0,suddenly deer,8.145361512849142,15,1,0.0513698630136986,0.001412429378531,NG2
cluster_0,auto body shop,7.982611892227482,28,4,0.0958904109589041,0.0056497175141242,NG3
cluster_0,unfortunately collided,7.935323155651627,10,0,0.0342465753424657,0.0,NG2
cluster_0,deer unexpectedly,7.935323155651627,10,0,0.0342465753424657,0.0,NG2
cluster_0,clear but,7.935323155651627,10,0,0.0342465753424657,0.0,NG2
cluster_0,local garage,7.912748609437791,18,2,0.0616438356164383,0.0028248587570621,NG2
cluster_0,despite best,7.912748609437791,18,2,0.0616438356164383,0.0028248587570621,NG2
cluster_0,across the highway,7.884780555417867,11,0,0.0376712328767123,0.0,NG3
cluster_0,shoulder and called,7.884780555417867,11,0,0.0376712328767123,0.0,NG3
cluster_0,abc auto,7.792129663613841,14,1,0.047945205479452,0.001412429378531,NG2
cluster_0,called 911,7.553868952795422,33,8,0.1130136986301369,0.0112994350282485,NG2
cluster_0,across the road,7.431378080399048,22,3,0.0753424657534246,0.0042372881355932,NG3
cluster_0,patch black,7.428916415307796,9,0,0.0308219178082191,0.0,NG2
cluster_0,for columbus,7.428916415307796,9,0,0.0308219178082191,0.0,NG2
cluster_0,was struck,7.428916415307796,9,0,0.0308219178082191,0.0,NG2
cluster_0,right side,7.428916415307796,9,0,0.0273972602739726,0.0,NG2
cluster_0,darted onto,7.428916415307796,9,0,0.0308219178082191,0.0,NG2
cluster_0,towed local,7.423913366128915,13,1,0.0445205479452054,0.001412429378531,NG2
cluster_0,auto repairs,7.423913366128915,13,1,0.0445205479452054,0.001412429378531,NG2
cluster_0,immediately pulled,7.387008282432308,32,8,0.1095890410958904,0.0112994350282485,NG2
cluster_0,from work along,7.381238608625282,66,20,0.2260273972602739,0.0282485875706214,NG3
cluster_0,impact caused,7.321929101161309,19,3,0.0650684931506849,0.0042372881355932,NG2
cluster_0,time react,7.321929101161309,19,3,0.0650684931506849,0.0042372881355932,NG2
cluster_0,took statement,7.312972190931534,16,2,0.0547945205479452,0.0028248587570621,NG2
cluster_0,front end,7.312972190931534,16,2,0.0547945205479452,0.0028248587570621,NG2
cluster_0,colliding with,7.312972190931534,16,2,0.0547945205479452,0.0028248587570621,NG2
cluster_0,despite best efforts,7.294515980470369,18,2,0.0616438356164383,0.0028248587570621,NG3
cluster_0,pulled over,7.279210377976313,67,26,0.2294520547945205,0.0367231638418079,NG2
cluster_0,best efforts brake,7.219947419583669,14,1,0.047945205479452,0.001412429378531,NG3
cluster_0,vehicle for,7.039199476733759,12,1,0.0410958904109589,0.001412429378531,NG2
cluster_0,injured but,7.022969175357608,23,5,0.0787671232876712,0.0070621468926553,NG2
cluster_0,car sustained,7.022969175357608,23,5,0.0787671232876712,0.0070621468926553,NG2
cluster_0,front bumper,7.022969175357608,23,5,0.0787671232876712,0.0070621468926553,NG2
cluster_0,over the shoulder,7.010420751877189,17,2,0.0582191780821917,0.0028248587570621,NG3
cluster_0,patch black ice,6.934060078652593,9,0,0.0308219178082191,0.0,NG3
cluster_0,exit for columbus,6.934060078652593,9,0,0.0308219178082191,0.0,NG3
cluster_0,light drizzle making,6.934060078652593,9,0,0.0308219178082191,0.0,NG3
cluster_0,was clear but,6.934060078652593,9,0,0.0308219178082191,0.0,NG3
cluster_0,suddenly darted across,6.934060078652593,9,0,0.0308219178082191,0.0,NG3
cluster_0,with the animal,6.934060078652593,9,0,0.0308219178082191,0.0,NG3
cluster_0,joes auto,6.891034510946234,8,0,0.0273972602739726,0.0,NG2
cluster_0,get estimate,6.891034510946234,8,0,0.0273972602739726,0.0,NG2
cluster_0,encountered unexpected,6.891034510946234,8,0,0.0273972602739726,0.0,NG2
cluster_0,sun was,6.891034510946234,8,0,0.0273972602739726,0.0,NG2
cluster_0,responding officer,6.891034510946234,8,0,0.0273972602739726,0.0,NG2
cluster_0,wasn injured,6.891034510946234,8,0,0.0273972602739726,0.0,NG2
cluster_0,shop smith,6.891034510946234,8,0,0.0273972602739726,0.0,NG2
cluster_0,swerved avoid hitting,6.865050009084999,13,1,0.0445205479452054,0.001412429378531,NG3
cluster_0,but car sustained,6.865050009084999,13,1,0.0445205479452054,0.001412429378531,NG3
cluster_0,onto the road,6.865050009084999,13,1,0.0445205479452054,0.001412429378531,NG3
cluster_0,sustained significant,6.798646673617656,22,5,0.0753424657534246,0.0070621468926553,NG2
cluster_0,police arrived shortly,6.716482929740842,16,2,0.0547945205479452,0.0028248587570621,NG3
cluster_0,local auto,6.667941677611412,14,2,0.047945205479452,0.0028248587570621,NG2
cluster_0,along the a1m,6.65188051997311,27,6,0.0924657534246575,0.0084745762711864,NG3
cluster_0,when encountered,6.56822284077388,21,5,0.071917808219178,0.0070621468926553,NG2
cluster_0,immediately pulled over,6.495300870697617,31,8,0.1061643835616438,0.0112994350282485,NG3
cluster_0,shop abc auto,6.494574255953201,12,1,0.0410958904109589,0.001412429378531,NG3
cluster_0,sustained significant damage,6.4928155697839705,21,4,0.071917808219178,0.0056497175141242,NG3
cluster_0,when car was,6.415847442986356,8,0,0.0273972602739726,0.0,NG3
cluster_0,year with light,6.415847442986356,8,0,0.0273972602739726,0.0,NG3
cluster_0,body shop where,6.415847442986356,8,0,0.0273972602739726,0.0,NG3
cluster_0,thankfully wasn injured,6.415847442986356,8,0,0.0273972602739726,0.0,NG3
cluster_0,road and despite,6.415847442986356,8,0,0.0273972602739726,0.0,NG3
cluster_0,thankfully was wearing,6.415847442986356,8,0,0.0273972602739726,0.0,NG3
cluster_0,making the roads,6.415847442986356,8,0,0.0273972602739726,0.0,NG3
cluster_0,i71 ohio around,6.415847442986356,8,0,0.0273972602739726,0.0,NG3
